
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000003e-01, -5.00177220e-03, -1.86882481e-01, -2.24775787e+02, 4.73806429e+00, 0.00000000e+00
-2.00000003e-01, 2.05259677e-03, -1.65819883e-01, -2.32025116e+02, 3.89745760e+00, 1.25367069e+01
-2.00000003e-01, 1.20510831e-02, -1.80976987e-01, -2.25946945e+02, 2.63682938e+00, 3.03055630e+01
-2.00000003e-01, -5.00177220e-03, -1.33706540e-01, -2.40598007e+02, 4.93231344e+00, 0.00000000e+00
-2.00000003e-01, -5.00177220e-03, -1.12176806e-01, -2.46223862e+02, 5.19962025e+00, 0.00000000e+00
-2.00000018e-01, 1.24313226e-02, -1.07294165e-01, -2.48404312e+02, 2.86137462e+00, 3.24614372e+01
-2.00000003e-01, -5.00177220e-03, -2.32372954e-01, -2.22082550e+02, 4.60973549e+00, 0.00000000e+00
-2.00000018e-01, 2.00000945e-02, -1.73214555e-01, -2.27537140e+02, 1.68182707e+00, 4.50341339e+01
-2.00000003e-01, -5.00177220e-03, -1.60684660e-01, -2.34219589e+02, 4.78382921e+00, 0.00000000e+00
-2.00000003e-01, -5.00177220e-03, -1.34417936e-01, -2.40441498e+02, 4.92279148e+00, 0.00000000e+00
-2.00000003e-01, -1.14352698e-03, -1.58133730e-01, -2.34628082e+02, 4.33014679e+00, 7.46997070e+00
-1.99999988e-01, -4.07168316e-03, -1.34577349e-01, -2.40356537e+02, 4.80932808e+00, 1.80074990e+00
-2.00000003e-01, 1.83409508e-02, -1.46216109e-01, -2.35404205e+02, 2.04416490e+00, 4.50063095e+01
-2.00000003e-01, 1.97198503e-02, -1.78393736e-01, -2.26186935e+02, 1.65299058e+00, 4.50245132e+01
-2.00000018e-01, 2.10139081e-02, -1.94455117e-01, -2.24810028e+02, 1.49253488e+00, 4.50390244e+01
-2.00000003e-01, -5.00177220e-03, -2.14475840e-01, -2.23914886e+02, 4.64572525e+00, 0.00000000e+00
-1.99999988e-01, -5.00177220e-03, -1.95820570e-01, -2.24810272e+02, 4.72603321e+00, 0.00000000e+00
-2.00000003e-01, 1.82191189e-02, -2.05207407e-01, -2.23945679e+02, 1.81686080e+00, 3.96054420e+01
-1.99999988e-01, 1.82843227e-02, -1.37127429e-01, -2.38492767e+02, 1.98750818e+00, 4.50947418e+01
-2.00000018e-01, 1.89200863e-02, -1.18813559e-01, -2.45148712e+02, 1.97352791e+00, 4.51884995e+01
-1.99999988e-01, 4.14221995e-02, -1.61539122e-01, -2.28494736e+02, 5.14900446e-01, 4.51668854e+01
-2.00000003e-01, 1.40917790e-03, -1.91186503e-01, -2.24771942e+02, 3.91028929e+00, 1.29350538e+01
-2.00000018e-01, 1.97688248e-02, -2.31927633e-01, -2.21794556e+02, 1.57670844e+00, 4.49607430e+01
-2.00000003e-01, 7.45357201e-03, -2.22393885e-01, -2.22682434e+02, 2.99417353e+00, 2.39662285e+01
-2.00000003e-01, 2.15259325e-02, -1.06899664e-01, -2.49299988e+02, 1.70103884e+00, 4.53327293e+01
-2.00000018e-01, 4.02888246e-02, -1.07976034e-01, -2.47227173e+02, 7.80016065e-01, 4.54507332e+01
-2.00000003e-01, 3.78288552e-02, -1.25954613e-01, -2.41804047e+02, 4.66861784e-01, 4.54371834e+01
-2.00000003e-01, 4.81866598e-02, -1.15142174e-01, -2.44244781e+02, 2.31575057e-01, 4.55009842e+01
-2.00000003e-01, 3.10074575e-02, -1.36037990e-01, -2.38483704e+02, 1.07405019e+00, 4.52402992e+01
-2.00000018e-01, 4.37830389e-02, -1.53978199e-01, -2.31162521e+02, 2.94202358e-01, 4.52545967e+01
-1.99999988e-01, 4.14930582e-02, -1.33257061e-01, -2.38129074e+02, 2.80386358e-01, 4.53872566e+01
-1.99999988e-01, -3.62214260e-03, -1.61657929e-01, -2.33764557e+02, 4.61417294e+00, 2.41814780e+00
-2.00000003e-01, 2.40602829e-02, -1.77690879e-01, -2.26333054e+02, 1.30903256e+00, 4.50821342e+01
