
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ]
7.29658008e-02, 1.06616229e-01, -5.05765021e-01
-6.73111618e-01, 4.55171257e-01, -5.05765021e-01
-5.12190998e-01, 4.59769011e-01, -5.05765021e-01
-4.95627016e-01, 8.07452127e-02, -5.05765021e-01
6.14155650e-01, 2.13430315e-01, -5.05765021e-01
6.52924418e-01, 3.07417184e-01, -5.05765021e-01
6.56627893e-01, 2.75785565e-01, -5.05765021e-01
6.32573605e-01, 2.86025614e-01, -5.05765021e-01
-4.63570714e-01, 1.08799481e+00, -5.05765021e-01
1.51439369e-01, 2.70033687e-01, -5.05765021e-01
4.66563404e-01, 1.61510885e-01, -5.05765021e-01
4.38226700e-01, 1.58552840e-01, -5.05765021e-01
4.50906038e-01, 1.83669105e-01, -5.05765021e-01
7.91269183e-01, 8.29895973e-01, -5.05765021e-01
-4.79255468e-01, 5.12814522e-01, -5.05765021e-01
-3.96402419e-01, 6.71058178e-01, -5.05765021e-01
7.30336070e-01, 6.30042970e-01, -5.05765021e-01
-4.85366076e-01, 2.45927870e-01, -5.05765021e-01
-5.04278839e-01, 2.22391888e-01, -5.05765021e-01
-5.13916671e-01, 2.53351182e-01, -5.05765021e-01
9.85902548e-02, 6.70862794e-01, -5.05765021e-01
6.54583871e-01, 8.44696820e-01, -5.05765021e-01
-6.91363215e-03, 4.93810833e-01, -5.05765021e-01
-3.16681974e-02, 5.03643572e-01, -5.05765021e-01
-8.49950407e-03, 5.22621691e-01, -5.05765021e-01
1.63361058e-01, 6.66766822e-01, -5.05765021e-01
1.89291731e-01, 6.66563451e-01, -5.05765021e-01
-1.12016715e-01, 8.25712740e-01, -5.05765021e-01
-9.80541632e-02, 8.47582936e-01, -5.05765021e-01
-8.92476514e-02, 8.25875342e-01, -5.05765021e-01
-3.96309614e-01, 9.59312797e-01, -5.05765021e-01
-4.27027702e-01, 9.54948068e-01, -5.05765021e-01
2.37726539e-01, 3.59514356e-01, -5.05765021e-01
2.58500546e-01, 3.39457542e-01, -5.05765021e-01
2.28009298e-01, 3.36964428e-01, -5.05765021e-01
-2.37095073e-01, 8.14449266e-02, -5.05765021e-01
