
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-2.00000018e-01, 1.69040263e-01, 8.43877792e-02, 2.58845310e+01, 3.50210220e-01, 3.14816608e+01
-2.00000003e-01, 1.61100313e-01, -4.09389101e-02, 5.48234711e+01, 2.05794096e-01, 3.10562897e+01
-1.99999988e-01, 1.19984150e-01, -4.65864912e-02, -5.23936615e+01, 3.06377959e+00, 2.27248688e+01
-2.00000003e-01, 1.11140311e-01, 2.14757353e-01, 2.33070984e+02, 6.22806311e-01, 2.26120129e+01
-1.99999988e-01, 3.68736237e-02, 1.35163382e-01, 2.00466599e+02, 9.96285141e-01, 2.48480930e+01
-1.99999988e-01, 4.71316837e-02, 7.80084506e-02, 1.30767532e+02, 5.23177814e+00, 9.14800358e+00
-1.99999988e-01, 5.94851002e-02, 1.79487363e-01, 3.18921539e+02, 9.15913224e-01, 1.77591667e+01
-1.99999988e-01, 7.25881569e-03, 1.61218673e-01, 7.98328018e+01, 1.19743919e+00, 1.72393167e+00
-2.00000003e-01, 3.03068999e-02, 1.12646922e-01, 1.58341751e+02, 1.31934309e+00, 6.01533604e+00
-2.00000003e-01, 1.91279687e-02, 1.88021660e-01, 5.88623772e+01, 1.11115932e+00, 5.95618534e+00
-2.00000003e-01, 7.12760091e-02, 2.34545678e-01, 2.03563629e+02, 8.02212059e-01, 2.17947063e+01
-2.00000003e-01, -2.00000009e-03, 1.71661526e-01, 7.19153442e+01, 1.13420653e+00, 0.00000000e+00
-1.99999988e-01, 1.09626234e-01, 5.47922365e-02, 2.38498917e+02, 1.63761961e+00, 2.52842369e+01
-2.00000018e-01, 1.41097188e-01, 1.60014600e-01, 1.25491615e+02, 1.18917382e+00, 2.80465946e+01
-2.00000003e-01, 2.28614025e-02, 2.02514287e-02, 7.46592865e+01, 2.04112792e+00, 2.95695248e+01
-2.00000003e-01, 8.19873065e-03, -6.53148629e-03, 6.73317719e+01, 3.47832656e+00, 2.92657413e+01
-2.00000018e-01, 7.59744197e-02, -5.78996018e-02, -9.86370544e+01, 1.16695893e+00, 3.19400997e+01
-2.00000003e-01, -3.44289001e-05, -1.20452113e-01, 1.10337845e+02, 1.85442662e+00, 2.99298286e+00
-2.00000003e-01, 4.72660176e-02, -1.26759008e-01, 1.09625565e+02, 8.38144779e-01, 3.00181694e+01
-2.00000003e-01, -1.50797784e-03, -1.23006895e-01, 1.11109085e+02, 1.87312138e+00, 4.94917214e-01
-2.00000003e-01, 4.77808565e-02, -1.39424101e-01, 1.13608627e+02, 7.72403955e-01, 2.99359608e+01
-2.00000003e-01, -1.19216274e-03, -1.23895697e-01, 1.11373276e+02, 1.86266637e+00, 6.59037352e-01
-2.00000003e-01, 3.72920856e-02, -1.87056810e-01, 1.18524292e+02, 8.08765233e-01, 2.98055115e+01
-2.00000003e-01, 6.12268299e-02, -1.51014745e-01, 1.13987610e+02, 5.29234290e-01, 2.99844074e+01
-2.00000018e-01, 1.12075523e-01, -1.75860465e-01, 1.16534096e+02, 1.37631148e-01, 2.99802456e+01
-2.00000018e-01, 1.00595810e-01, -1.56374276e-01, 1.14040756e+02, 3.20278019e-01, 3.00018673e+01
-2.00000003e-01, 1.17576942e-01, -1.67619497e-01, 1.15613831e+02, 1.30228683e-01, 3.00016193e+01
-2.00000003e-01, 7.91979432e-02, -1.92450702e-01, 1.19402039e+02, 1.69075012e-01, 2.99359989e+01
-1.99999988e-01, 1.34025104e-02, -1.60255700e-01, 1.18288147e+02, 1.45360422e+00, 1.25654268e+01
